date, pm25, pm10, o3, no2, so2, co
2025/9/21, 33, 6, 35, 1, 1, 1
2025/9/22, 25, 7, 22, 1, 1, 2
2025/9/23, 35, 8, 27, 1, 1, 2
2025/9/24, 30, 6, 25, 1, , 2
2025/9/25, 39, 9, 21, 1, , 2
2025/9/26, 40, 7, 37, 1, 1, 2
2025/9/27, 39, 9, 31, 1, 1, 2
2025/9/28, 45, 9, 24, 1, , 2
2025/9/29, 39, 9, 38, 1, 1, 3
2025/9/30, 45, 9, 40, 1, 1, 3
2025/4/1, 25, 7, 28, 4, 1, 4
2025/4/2, 35, 5, 38, 2, 1, 2
2025/4/3, 26, 7, 44, 2, 1, 3
2025/4/4, 28, 6, 38, 9, 1, 3
2025/4/5, 42, 7, 16, 2, 1, 3
2025/4/6, 40, 9, 50, 2, 1, 3
2025/4/7, 48, 6, 60, 2, 1, 2
2025/4/8, 38, 16, 59, 6, 1, 4
2025/4/9, 70, 16, 46, 3, 1, 3
2025/4/10, 68, 10, 41, 2, , 3
2025/4/11, 54, 11, 48, 5, , 3
2025/4/12, 59, 6, 45, 1, 1, 2
2025/4/13, 32, 8, 40, 4, 1, 4
2025/4/14, 40, 4, 40, 1, 1, 2
2025/4/15, 21, 6, 46, 3, 1, 2
2025/4/16, 33, 19, 55, 6, 1, 3
2025/4/17, 63, 23, 44, 4, 1, 3
2025/4/18, 71, 23, 44, 3, 1, 2
2025/4/19, 73, 18, 39, 2, 1, 3
2025/4/20, 60, 10, 44, 6, 1, 3
2025/4/21, 39, 12, 40, 2, , 2
2025/4/22, 34, 6, 25, 2, 1, 3
2025/4/23, 29, 4, 44, 2, 1, 3
2025/4/24, 32, 11, 52, 2, 1, 3
2025/4/25, 54, 16, 52, 2, 1, 3
2025/4/26, 72, 9, 59, 1, , 2
2025/4/27, 52, 10, 33, 6, 1, 3
2025/4/28, 59, 9, 47, 1, 1, 2
2025/4/29, 51, 9, 50, 3, 1, 3
2025/4/30, 53, 11, 50, 2, 1, 2
2025/5/1, 60, 8, 52, 1, 1, 2
2025/5/2, 44, 8, 51, 2, 1, 3
2025/5/3, 45, 7, 46, 1, 1, 3
2025/5/4, 42, 6, 50, 2, 1, 2
2025/5/5, 38, 4, 39, 1, 1, 2
2025/5/6, 28, 5, 44, 1, 1, 2
2025/5/7, 36, 6, 43, 4, , 2
2025/5/8, 32, 7, 40, 2, , 2
2025/5/9, 43, 8, 46, 2, , 2
2025/5/10, 38, 7, 46, 1, , 3
2025/5/11, 43, 9, 59, 1, , 3
2025/5/12, 62, 13, 64, 5, 1, 3
2025/5/13, 68, 14, 64, 4, 1, 3
2025/5/14, 73, 12, 45, 4, 1, 3
2025/5/15, 64, 13, 30, 3, 1, 2
2025/5/16, 62, 8, 24, 1, , 2
2025/5/17, 32, 15, 35, 1, 1, 2
2025/5/18, 60, 23, 47, 3, 1, 3
2025/5/19, 73, 24, 51, 3, 2, 3
2025/5/20, 83, 30, 25, 3, 1, 2
2025/5/21, 86, 6, 28, 1, 1, 2
2025/5/22, 29, 10, 45, 2, 1, 2
2025/5/23, 55, 10, 32, 1, 1, 2
2025/5/24, 49, 2, 29, 1, , 2
2025/5/25, 25, 5, 26, 2, 1, 3
2025/5/26, 37, 7, 41, 1, 1, 2
2025/5/27, 40, 8, 46, 2, 1, 2
2025/5/28, 56, 8, 29, 2, 1, 2
2025/5/29, 48, 6, 35, 1, 1, 2
2025/5/30, 48, 9, 49, 1, 1, 2
2025/5/31, 48, 8, 43, 1, 1, 2
2025/6/1, 53, 13, 45, 2, 1, 3
2025/6/2, 63, 5, 39, 2, 1, 2
2025/6/3, 31, 8, 46, 1, 1, 2
2025/6/4, 46, 9, 57, 1, 1, 2
2025/6/5, 58, 11, 59, 2, 1, 2
2025/6/6, 61, 13, 56, 2, 1, 3
2025/6/7, 70, 18, 29, 1, 1, 3
2025/6/8, 79, 11, 30, 3, 1, 2
2025/6/9, 52, 6, 15, 3, 1, 3
2025/6/10, 29, 11, 40, 2, 1, 3
2025/6/11, 34, 21, 29, 1, 1, 3
2025/6/12, 59, 17, 38, 2, 1, 3
2025/6/13, 55, 13, 27, 1, , 2
2025/6/14, 33, 13, 29, 1, , 1
2025/6/15, 27, 23, 21, 1, 1, 1
2025/6/16, 54, 22, 35, 1, 1, 3
2025/6/17, 52, 21, 42, 1, 1, 2
2025/6/18, 61, 17, 52, 1, 1, 2
2025/6/19, 62, 26, 50, 1, 1, 2
2025/6/20, 71, 22, 29, 1, 1, 
2025/6/21, 68, 29, 19, 1, 1, 1
2025/6/22, 60, 16, 18, 2, 1, 2
2025/6/23, 43, 12, 13, 1, 1, 1
2025/6/24, 39, 13, 14, 1, , 1
2025/6/25, 35, 17, 26, 1, 1, 2
2025/6/26, 40, 17, 47, 1, 1, 2
2025/6/27, 54, 21, 50, 1, 1, 3
2025/6/28, 68, 20, 49, 1, 1, 2
2025/6/29, 66, 22, 45, 1, 1, 3
2025/6/30, 75, 26, 49, 1, 1, 3
2025/1/1, 42, , , , , 
2025/1/6, 39, 9, 35, 1, 1, 
2025/1/7, 38, 4, 32, 2, , 
2025/1/8, 20, 5, 33, 3, , 
2025/1/9, 22, 3, 35, 1, 1, 
2025/1/10, 14, 4, 36, 2, 1, 
2025/1/11, 20, 4, 37, 1, , 
2025/1/12, 25, 7, 37, 2, 1, 
2025/1/13, 37, 10, 40, 4, 1, 
2025/1/14, 47, 9, 36, 2, 1, 
2025/1/15, 42, 5, 35, 2, 1, 
2025/1/16, 23, 4, 31, 3, 1, 
2025/1/17, 24, 5, 33, 3, 1, 
2025/1/18, 22, 6, 32, 3, 1, 
2025/1/19, 31, 6, 37, 2, 1, 
2025/1/20, 26, 7, 39, 3, 1, 
2025/1/21, 33, 13, 45, 4, 1, 
2025/1/22, 55, 15, 42, 5, 1, 
2025/1/23, 59, 14, 41, 5, 1, 
2025/1/24, 64, 6, 38, 3, , 
2025/1/25, 27, 4, 36, 2, 1, 
2025/1/26, 20, 5, 30, 2, , 4
2025/1/27, 21, 6, 35, 1, , 2
2025/1/28, 24, 4, 36, 1, , 2
2025/1/29, 16, 6, 41, 1, 1, 3
2025/1/30, 34, 16, 42, 3, 1, 3
2025/1/31, 70, 18, 37, 4, 1, 4
2025/2/1, 71, 4, 29, 2, , 3
2025/2/2, 27, 8, 41, 2, 1, 3
2025/2/3, 35, 5, 42, 1, 1, 3
2025/2/4, 23, 6, 40, 1, 1, 2
2025/2/5, 18, 4, 39, 1, , 3
2025/2/6, 26, 6, 37, 2, 1, 3
2025/2/7, 22, 5, 38, 1, 1, 3
2025/2/8, 21, 3, 34, 1, 1, 3
2025/2/9, 16, 6, 35, 3, 1, 4
2025/2/10, 19, 6, 37, 2, 1, 3
2025/2/11, 30, 7, 27, 6, 1, 4
2025/2/12, 33, 4, 35, 2, 1, 3
2025/2/13, 27, 6, 37, 3, 1, 4
2025/2/14, 30, 7, 37, 4, 1, 4
2025/2/15, 40, 8, 32, 3, , 3
2025/2/16, 39, 10, 40, 3, 1, 3
2025/2/17, 45, 5, 39, 2, 1, 3
2025/2/18, 22, 4, 37, 1, 1, 3
2025/2/19, 22, 5, 39, 3, 1, 3
2025/2/20, 28, 5, 40, 2, 1, 3
2025/2/21, 29, 5, 41, 2, 1, 3
2025/2/22, 30, 5, 42, 2, 1, 3
2025/2/23, 27, 6, 38, 1, 1, 3
2025/2/24, 25, 5, 41, 3, 1, 3
2025/2/25, 27, 5, 45, 3, , 2
2025/2/26, 26, 16, 54, 5, 1, 4
2025/2/27, 61, 16, 34, 7, , 4
2025/2/28, 65, 15, 40, 6, , 5
2025/3/1, 60, 18, 28, 5, , 5
2025/3/2, 72, 7, 38, 4, , 3
2025/3/3, 26, 3, 33, 4, , 3
2025/3/4, 20, 6, 35, 6, , 3
2025/3/5, 25, 2, 38, 1, 1, 29
2025/3/6, 15, 5, 40, 1, 1, 3
2025/3/7, 21, 6, 38, 3, 1, 3
2025/3/8, 37, 7, 42, 2, 1, 3
2025/3/9, 41, 6, 44, 3, 1, 3
2025/3/10, 37, 8, 35, 4, , 3
2025/3/11, 37, 13, 17, 5, , 4
2025/3/12, 39, 13, 42, 4, , 3
2025/3/13, 59, 8, 35, 2, , 3
2025/3/14, 36, 7, 32, 2, 1, 2
2025/3/15, 28, 3, 29, 1, 1, 3
2025/3/16, 14, 6, 40, 1, 1, 3
2025/3/17, 38, 5, 38, 1, 1, 3
2025/3/18, 32, 7, 40, 2, 1, 3
2025/3/19, 36, 7, 46, 1, 1, 3
2025/3/20, 43, 14, 71, 4, 1, 3
2025/3/21, 64, 14, 68, 3, 1, 3
2025/3/22, 60, 14, 59, 3, 1, 3
2025/3/23, 62, 16, 55, 4, , 4
2025/3/24, 68, 21, 58, 4, , 3
2025/3/25, 79, 23, 70, 5, 1, 4
2025/3/26, 87, 16, 43, 4, 1, 3
2025/3/27, 70, 10, 42, 2, , 3
2025/3/28, 44, 6, 40, 1, 1, 2
2025/3/29, 31, 6, 39, 1, 1, 2
2025/3/30, 30, 5, 38, 1, 1, 3
2025/3/31, 26, 5, 35, 2, 1, 3
2024/10/1, 39, 10, 36, 1, 1, 
2024/10/2, 52, 3, 24, 1, , 
2024/10/3, 23, 4, 22, 1, , 
2024/10/4, 19, 4, 30, 1, , 
2024/10/5, 27, 6, 37, 1, 1, 
2024/10/6, 31, 6, 20, 1, 1, 
2024/10/7, 35, 3, 32, 1, 1, 
2024/10/8, 21, 4, 31, 1, 1, 
2024/10/9, 26, 4, 33, 1, 1, 
2024/10/10, 30, 5, 32, 1, 1, 
2024/10/11, 39, 4, 33, 1, 1, 
2024/10/12, 30, 4, 35, 1, 1, 
2024/10/13, 36, 5, 32, 1, 1, 
2024/10/14, 35, 5, 29, 1, 1, 
2024/10/15, 38, 8, 22, 1, 1, 
2024/10/16, 48, 7, 31, 1, 1, 
2024/10/17, 44, 8, 30, 2, 1, 
2024/10/18, 41, 8, 24, 1, , 
2024/10/19, 37, 4, 25, 1, , 
2024/10/20, 22, 5, 25, 1, , 
2024/10/21, 29, 5, 28, 1, , 
2024/10/22, 30, 5, 31, 1, 1, 
2024/10/23, 34, 9, 24, 2, 1, 
2024/10/24, 42, 5, 37, 1, 1, 
2024/10/25, 40, 8, 12, 1, 1, 
2024/10/26, 48, 9, 25, 1, 1, 
2024/10/27, 46, 5, 33, 1, , 
2024/10/28, 21, 7, 26, 2, , 
2024/10/29, 39, 5, 32, 1, , 
2024/10/30, 25, 6, 32, 2, , 
2024/10/31, 35, 8, 35, 2, , 
2024/11/1, 40, 5, 27, 2, , 
2024/11/2, 25, 7, 37, 1, 1, 
2024/11/3, 41, 7, 30, 1, 1, 
2024/11/4, 44, 9, 36, 2, 1, 
2024/11/5, 51, 5, 35, 1, 1, 
2024/11/6, 35, 4, 32, 1, 1, 
2024/11/7, 26, 4, 33, 1, 1, 
2024/11/8, 24, 5, 34, 1, 1, 
2024/11/9, 29, 8, 27, 1, 1, 
2024/11/10, 49, 5, 31, 2, 1, 
2024/11/11, 45, 9, 30, 1, 1, 
2024/11/12, 57, 9, 34, 1, 1, 
2024/11/13, 59, 12, 35, 2, 1, 
2024/11/14, 64, 13, 11, 2, 1, 
2024/11/15, 70, 16, 14, 2, , 
2024/11/16, 74, 12, 25, 1, , 
2024/11/17, 62, 3, 32, 1, 1, 
2024/11/18, 18, 4, 34, 1, 1, 
2024/11/19, 18, 5, 31, 2, 1, 
2024/11/20, 31, 5, 35, 1, 1, 
2024/11/21, 31, 8, 41, 2, , 
2024/11/22, 39, 4, 33, 1, , 
2024/11/23, 19, 4, 30, 1, 1, 2
2024/11/24, 21, 3, 30, 2, 1, 3
2024/11/25, 19, 4, 30, 4, , 4
2024/11/26, 30, 7, 32, 2, 1, 3
2024/11/27, 40, 4, 36, 1, 1, 2
2024/11/28, 19, 3, 32, 2, 1, 4
2024/11/29, 20, 3, 35, 1, 1, 3
2024/11/30, 17, 5, 32, 1, 1, 3
2024/12/1, 21, 6, 30, 3, 1, 4
2024/12/2, 33, 10, 46, 2, 1, 4
2024/12/3, 54, 7, 35, 2, 1, 4
2024/12/4, 38, 5, 35, 2, 1, 3
2024/12/5, 23, 5, 38, 3, 1, 4
2024/12/6, 33, 5, 34, 1, , 3
2024/12/7, 22, 4, 35, 1, 1, 3
2024/12/8, 20, 3, 30, 2, 1, 4
2024/12/9, 16, 4, 35, 2, 1, 4
2024/12/10, 24, 6, 35, 2, 1, 3
2024/12/11, 23, 3, 30, 2, 1, 3
2024/12/12, 17, 5, 36, 3, 1, 3
2024/12/13, 24, 4, 38, 1, 1, 3
2024/12/14, 26, 4, 38, 1, 1, 2
2024/12/15, 22, 6, 28, 4, , 3
2024/12/16, 28, 5, 27, 4, 1, 3
2024/12/17, 23, 4, 33, 3, 1, 4
2024/12/18, 29, 3, 33, 1, 1, 3
2024/12/19, 20, 5, 30, 3, 1, 5
2024/12/20, 22, 6, 40, 1, 1, 4
2024/12/21, 27, 6, 38, 1, 1, 4
2024/12/22, 33, 3, 35, 2, 1, 3
2024/12/23, 14, 5, 38, 2, 1, 3
2024/12/24, 28, 6, 32, 4, 1, 
2024/12/25, 33, 6, 36, 4, , 
2024/12/26, 39, 10, 38, 1, , 
2024/12/27, 38, 5, 34, 1, , 
2024/12/28, 22, 4, 31, 1, , 
2024/12/29, 21, , , , , 
2024/7/1, 27, 11, 25, 1, , 
2024/7/2, 38, 20, 25, 1, 1, 
2024/7/3, 61, 14, 25, 1, , 
2024/7/4, 52, 12, 6, 1, 1, 
2024/7/5, 43, 14, 27, 1, 1, 
2024/7/6, 59, 10, 17, 1, 1, 
2024/7/7, 48, 8, 22, 1, , 
2024/7/8, 42, 7, 21, 1, 1, 
2024/7/9, 47, 11, 22, 1, , 
2024/7/10, 52, 6, 24, 2, , 
2024/7/11, 35, 5, 43, 1, , 
2024/7/12, 28, 10, 39, 1, , 
2024/7/13, 42, 11, 16, 1, , 
2024/7/14, 46, 9, 17, 1, , 
2024/7/15, 37, 9, 27, 1, 1, 
2024/7/16, 37, 10, 28, 1, 1, 
2024/7/17, 39, 9, 17, 1, , 
2024/7/18, 45, 9, 23, 1, 1, 
2024/7/19, 37, 18, 30, 1, 1, 
2024/7/20, 60, 19, 31, 1, 1, 
2024/7/21, 66, 18, 27, 1, 1, 
2024/7/22, 60, 14, 30, 1, 1, 
2024/7/23, 54, 11, 25, 1, , 
2024/7/24, 47, 9, 26, 1, 1, 
2024/7/25, 40, 6, 16, 1, , 
2024/7/26, 23, 8, 21, 1, , 
2024/7/27, 28, 9, 21, 1, 1, 
2024/7/28, 44, 13, 24, 1, 1, 
2024/7/29, 55, 7, 26, 2, 1, 
2024/7/30, 39, 10, 33, 1, 1, 
2024/7/31, 42, 12, 37, 1, 1, 
2024/8/1, 49, 15, 61, 1, 1, 
2024/8/2, 59, 23, 52, 1, 1, 
