date, pm25, pm10, o3, no2, so2, co
2025/9/29, 37, 12, 34, 1, 1, 
2025/9/30, 46, 12, 35, 1, 1, 
2025/4/1, 31, 10, 22, 5, , 
2025/4/2, 37, 6, 39, 2, 1, 
2025/4/3, 28, 7, 43, 2, 1, 
2025/4/4, 31, 10, 44, 1, 1, 
2025/4/5, 42, 15, 55, 2, 2, 
2025/4/6, 54, 13, 51, 2, 1, 
2025/4/7, 48, 10, 56, 1, 1, 
2025/4/8, 42, 19, 66, 2, 1, 
2025/4/9, 66, 20, 45, 4, 1, 
2025/4/10, 72, 13, 38, 2, 1, 
2025/4/11, 55, 14, 45, 2, 1, 
2025/4/12, 58, 8, 38, 1, 1, 
2025/4/13, 39, 11, 42, 1, 1, 
2025/4/14, 45, 5, 39, 2, 1, 
2025/4/15, 24, 10, 46, 2, 1, 
2025/4/16, 42, 18, 53, 1, 1, 
2025/4/17, 65, 21, 47, 2, 1, 
2025/4/18, 71, 18, 42, 1, 1, 
2025/4/19, 62, 13, 38, 8, 1, 
2025/4/20, 53, 11, 47, 3, 1, 
2025/4/21, 49, 9, 37, 2, 1, 
2025/4/22, 39, 8, 13, 6, 1, 
2025/4/23, 36, 7, 39, 4, 1, 
2025/4/24, 40, 14, 49, 2, 1, 
2025/4/25, 55, 18, 50, 2, 1, 
2025/4/26, 70, 11, 66, 1, 1, 
2025/4/27, 49, 12, 37, 2, 1, 
2025/4/28, 52, 11, 47, 1, 1, 
2025/4/29, 49, 14, 54, 2, 1, 
2025/4/30, 54, 12, 49, 2, 1, 
2025/5/1, 51, 9, 51, 2, 1, 
2025/5/2, 42, 10, 50, 1, 1, 
2025/5/3, 42, 10, 47, 1, 1, 
2025/5/4, 46, 7, 45, 1, 1, 
2025/5/5, 35, 5, 37, 2, 1, 
2025/5/6, 24, 8, 46, 1, 1, 
2025/5/7, 35, 8, 45, 1, 1, 
2025/5/8, 33, 9, 27, 3, , 
2025/5/9, 38, 9, 44, 2, 1, 
2025/5/10, 35, 9, 47, 1, 1, 
2025/5/11, 36, 15, 53, 2, 1, 
2025/5/12, 59, 18, 64, 2, 1, 
