date, pm25, pm10, o3, no2, so2, co
2025/4/3, 19, 6, 37, 7, 1, 
2025/4/4, 23, 10, 42, 4, 1, 
2025/4/5, 34, 9, 42, 4, 1, 
2025/4/6, 32, 10, 41, 4, 1, 
2025/4/7, 37, 15, 45, 9, 1, 
2025/4/8, 51, 12, 47, 5, 1, 
2025/4/9, 35, 17, 52, 7, 1, 
2025/4/10, 50, 16, 44, 6, 1, 
2025/4/11, 51, 12, 46, 3, 1, 
2025/4/12, 42, 10, 39, 1, , 
2025/4/13, 32, 15, 48, 5, 1, 
2025/4/14, 35, 12, 47, 3, 1, 
2025/4/15, 36, 8, 44, 3, 1, 
2025/4/16, 27, 18, 46, 14, 2, 
2025/4/17, 55, 26, 63, 11, 1, 
2025/4/18, 69, 31, 69, 11, 1, 
2025/4/19, 76, 25, 38, 6, 1, 
2025/4/20, 64, 11, 49, 3, 1, 
2025/4/21, 37, 17, 44, 8, 1, 
2025/4/22, 52, 10, 40, 6, , 
2025/4/23, 30, 13, 38, 7, 1, 
2025/4/24, 40, 20, 31, 6, 1, 
2025/4/25, 55, 17, 41, 3, 1, 
2025/4/26, 55, 20, 50, 7, 1, 
2025/4/27, 59, 21, 46, 9, 1, 
2025/4/28, 56, 9, 47, 2, 1, 
2025/4/29, 33, 14, 51, 2, 1, 
2025/4/30, 49, 14, 53, 4, 1, 
2025/5/1, 45, 10, 43, 2, 1, 
2025/5/2, 30, 9, 58, 1, 1, 
2025/5/3, 28, 15, 47, 1, 1, 
2025/5/4, 44, 12, 49, 4, 1, 
2025/5/5, 41, 12, 36, 4, 1, 
2025/5/6, 38, 7, 42, 2, 1, 
2025/5/7, 25, 10, 48, 4, 1, 
2025/5/8, 36, 14, 39, 7, 1, 
2025/5/9, 42, 8, 32, 5, , 
2025/5/10, 25, 7, 41, 2, 1, 
2025/5/11, 20, 11, 30, 5, , 
2025/5/12, 34, 13, 62, 7, 1, 
2025/5/13, 45, 16, 56, 9, 1, 
2025/5/14, 50, 14, 52, 7, 1, 
2025/5/15, 46, 18, 56, 8, 1, 
2025/5/16, 54, 10, 25, 6, , 
2025/5/17, 28, 18, 27, 5, 1, 
2025/5/18, 42, 24, 34, 4, 1, 
2025/5/19, 58, 31, 63, 7, 1, 
2025/5/20, 67, 35, 69, 6, 1, 
2025/5/21, 72, 15, 43, 4, 1, 
2025/5/22, 38, 13, 40, 2, 1, 
2025/5/23, 42, 14, 35, 2, 1, 
2025/5/24, 46, 9, 30, 2, , 
2025/5/25, 30, 7, 39, 3, 1, 
2025/5/26, 23, 9, 33, 4, 1, 
2025/5/27, 28, 9, 32, 2, 1, 
2025/5/28, 26, 10, , 4, 1, 
2025/5/29, 32, 8, 37, 3, , 
2025/5/30, 27, 4, 41, 1, , 
2025/5/31, 11, 7, 43, 1, 1, 
2025/6/1, 19, 13, 42, 6, 1, 
2025/6/2, 37, 15, 36, 6, 1, 
2025/6/3, 43, 9, 57, 4, 1, 
2025/6/4, 25, 15, 53, 4, 1, 
2025/6/5, 45, 20, 64, 6, 1, 
2025/6/6, 55, 20, 63, 5, 1, 
2025/6/7, 55, 24, 63, 8, 1, 
2025/6/8, 61, 23, 52, 11, 1, 
2025/6/9, 58, 12, 34, 6, , 
2025/6/10, 33, 13, 29, 6, , 
2025/6/11, 32, 15, 50, 4, 1, 
2025/6/12, 43, 16, 40, 4, 1, 
2025/6/13, 44, 13, 37, 4, 1, 
2025/6/14, 34, 9, 33, 1, , 
2025/6/15, 18, 16, 42, 5, 1, 
2025/6/16, 30, 28, 61, 5, 1, 
2025/6/17, 47, 15, 49, 3, 1, 
2025/6/18, 33, 16, 50, 4, 1, 
2025/6/19, 35, 13, 33, 4, 1, 
2025/6/20, 27, 15, 39, 5, 1, 
2025/6/21, 28, 16, 32, 2, 1, 
2025/6/22, 33, 14, 23, 3, , 
2025/6/23, 24, 13, 15, 8, 1, 
2025/6/24, 18, 18, 8, 3, , 
2025/6/25, 14, 18, 26, 3, , 
2025/6/26, 18, 18, 43, 4, 1, 
2025/6/27, 29, 16, 40, 3, 1, 
2025/6/28, 40, 18, 68, 4, 1, 
2025/6/29, 43, 27, 67, 11, 1, 
2025/6/30, 49, 29, 65, 8, 1, 
2025/1/1, 25, 8, 30, 5, 1, 
2025/1/2, 31, 6, 23, 2, 1, 
2025/1/3, 21, 6, 28, 2, 1, 
2025/1/4, 22, 12, 23, 7, 1, 
2025/1/5, 45, 19, 14, 17, 1, 
2025/1/6, 64, 8, 25, 11, 1, 
2025/1/7, 30, 4, 27, 7, 1, 
2025/1/8, 13, 8, 28, 13, 1, 
2025/1/9, 29, 5, 27, 7, 1, 
2025/1/10, 15, 6, 29, 6, 1, 
2025/1/11, 24, 13, 22, 9, 1, 
2025/1/12, 47, 7, 32, 5, 1, 
2025/1/13, 26, 10, 24, 17, 1, 
2025/1/14, 34, 10, 30, 16, 1, 
2025/1/15, 38, 7, 26, 9, 1, 
2025/1/16, 27, 8, 28, 6, 1, 
2025/1/17, 25, 10, 29, 9, 1, 
2025/1/18, 35, 17, 28, 10, 1, 
2025/1/19, 58, 13, 27, 11, 1, 
2025/1/20, 47, 12, 30, 9, 1, 
2025/1/21, 45, 11, 32, 11, 1, 
2025/1/22, 40, 13, 26, 20, 1, 
2025/1/23, 48, 14, 36, 12, 1, 
2025/1/24, 52, 8, 29, 4, 1, 
2025/1/25, 32, 5, 32, 5, 1, 
2025/1/26, 18, 10, 18, 16, 1, 
2025/1/27, 36, 15, 30, 15, 1, 
