date, pm25, pm10, o3, no2, so2
2025/4/9, 70, 12, 48, 1, 1
2025/4/10, 62, 11, 41, 2, 1
2025/4/11, 53, 8, 59, 1, 1
2025/4/12, 55, 12, 58, 1, 1
2025/4/13, 44, 11, 45, 2, 1
2025/4/14, 267, 3, 41, 1, 
2025/4/15, 26, 2, 31, 1, 1
2025/4/16, 29, 11, 55, 1, 1
2025/4/17, 52, 11, 47, 1, 1
2025/4/18, 56, 11, 43, 1, 1
2025/4/19, 60, 7, 38, 1, 1
2025/4/20, 37, 4, 50, 2, 1
2025/4/21, 35, 8, 51, 1, 1
2025/4/22, 43, 10, 29, 3, 1
2025/4/23, 36, 5, 40, 3, 1
2025/4/24, 29, 15, 49, 2, 1
2025/4/25, 62, 18, 58, 1, 1
2025/4/26, 73, 8, 68, 2, 1
2025/4/27, 55, 5, 42, 1, 1
2025/4/28, 41, 5, 46, 1, 1
2025/4/29, 47, 13, 59, 2, 1
2025/4/30, 64, 7, 63, 1, 1
2025/5/1, 60, 7, 53, 1, 1
2025/5/2, 32, 7, 59, 1, 1
2025/5/3, 45, 8, 55, 1, 1
2025/5/4, 45, 3, 55, 1, 1
2025/5/5, 35, 4, 37, 1, 
2025/5/6, 25, 2, 45, 1, 1
2025/5/7, 32, 4, 48, 1, 1
2025/5/8, 29, 9, 46, 1, 
2025/5/9, 49, 6, 36, 1, 
2025/5/10, 39, 6, 48, 1, 1
2025/5/11, 36, 6, 46, 1, 1
2025/5/12, 43, 9, 75, 2, 1
2025/5/13, 62, 13, 67, 1, 1
2025/5/14, 62, 9, 51, 1, 1
2025/5/15, 56, 5, 39, 1, 
2025/5/16, 48, 12, 25, 1, 1
2025/5/17, 36, 16, 30, 2, 1
2025/5/18, 52, 21, 49, 2, 1
2025/5/19, 65, 17, 44, 1, 1
2025/5/20, 64, 9, 23, 1, 1
2025/5/21, 35, 5, 36, 2, 1
2025/5/22, 29, 12, 51, 1, 1
2025/5/23, 48, 16, 42, 1, 1
2025/5/24, 44, 7, 34, 1, 
2025/5/25, 31, 3, 34, 1, 1
2025/5/26, 33, 3, 42, 2, 1
2025/5/27, 34, 4, 53, 2, 1
2025/5/28, 35, 2, 31, 1, 1
2025/5/29, 24, 2, 42, 1, 1
2025/5/30, 42, 5, 52, 1, 1
2025/5/31, 43, 8, 47, 1, 1
2025/6/1, 49, 12, 49, 2, 1
2025/6/2, 58, 5, 40, 2, 1
2025/6/3, 32, 6, 47, 1, 
2025/6/4, 46, 10, 63, 1, 1
2025/6/5, 54, 10, 55, 1, 1
