date, pm25, pm10, o3, no2, so2, co
2025/9/21, 14, 10, 40, 4, 1, 3
2025/9/22, 19, 10, 38, 3, 1, 2
2025/9/23, 25, 10, 40, 4, 1, 2
2025/9/24, 26, 12, 42, 4, 1, 2
2025/9/25, 29, 11, 40, 7, 1, 3
2025/9/26, 28, 11, 47, 3, 1, 2
2025/9/27, 30, 12, 35, 1, 1, 2
2025/9/28, 27, 11, 41, 4, 1, 3
2025/9/29, 21, 8, 42, 5, 1, 3
2025/9/30, 21, 10, 43, 5, 1, 2
2025/4/1, 22, 7, 33, 1, 1, 3
2025/4/2, 19, 6, 40, 1, 1, 
2025/4/3, 19, 2, 41, 1, 1, 2
2025/4/4, 8, 8, 41, 1, 1, 3
2025/4/5, 28, 9, 40, 1, 1, 
2025/4/6, 29, 13, 47, 1, 1, 3
2025/4/7, 40, 15, 52, 1, 1, 3
2025/4/8, 49, 16, 51, 1, 1, 3
2025/4/9, 41, 20, 50, 1, 1, 3
2025/4/10, 53, 17, 49, 1, 1, 3
2025/4/11, 49, 17, 58, 1, 1, 3
2025/4/12, 55, 10, 48, 1, 1, 2
2025/4/13, 23, 17, 47, 1, 1, 3
2025/4/14, 41, 8, 42, 1, 1, 3
2025/4/15, 23, 10, 49, 1, 1, 3
2025/4/16, 32, 18, 63, 2, 1, 3
2025/4/17, 51, 23, 51, 1, 1, 3
2025/4/18, 61, 27, 57, 1, 2, 3
2025/4/19, 67, 19, 36, 1, 1, 2
2025/4/20, 49, 13, 46, 1, 1, 3
2025/4/21, 36, 14, 43, 1, 1, 3
2025/4/22, 35, 10, 40, 2, 1, 3
2025/4/23, 20, 5, 51, 1, 1, 3
2025/4/24, 15, 18, 50, 1, 1, 3
2025/4/25, 52, 20, 54, , 1, 
2025/4/26, 61, 18, 69, 1, 1, 3
2025/4/27, 56, 15, 46, 1, 1, 3
2025/4/28, 47, 15, 47, 1, 1, 3
2025/4/29, 48, 23, 57, 1, 1, 3
2025/4/30, 71, 15, 49, 1, 1, 3
2025/5/1, 51, 8, 47, 1, 1, 2
2025/5/2, 23, 10, 54, 1, 1, 3
2025/5/3, 40, 11, 52, 1, 1, 
2025/5/4, 39, 9, 53, 1, 1, 3
2025/5/5, 35, 8, 38, 1, 1, 4
2025/5/6, 27, 6, 43, 1, 1, 3
2025/5/7, 21, 10, 42, 2, 1, 2
2025/5/8, 34, 11, 38, 1, 1, 2
2025/5/9, 29, 5, 44, 1, 1, 2
2025/5/10, 12, 9, 46, 1, 1, 4
2025/5/11, 29, 12, 53, 1, 1, 3
2025/5/12, 39, 18, 57, 1, 1, 3
2025/5/13, 60, 18, 58, 1, 1, 3
2025/5/14, 57, 16, 51, 1, 1, 3
2025/5/15, 52, 14, 40, 1, 1, 3
2025/5/16, 48, 16, 26, 1, 1, 2
2025/5/17, 28, 24, 28, 1, 1, 2
2025/5/18, 50, 26, 47, 1, 1, 3
2025/5/19, 59, 25, 58, 2, 2, 3
2025/5/20, 62, 23, 31, 1, 1, 3
2025/5/21, 52, 8, 39, 2, 1, 2
2025/5/22, 23, 14, 38, 1, 1, 2
2025/5/23, 44, 14, 37, 1, 1, 2
2025/5/24, 45, 10, 37, 1, 1, 2
2025/5/25, 14, 7, 37, 1, 1, 3
2025/5/26, 25, 11, 33, 1, 1, 3
2025/5/27, 37, 10, 49, 1, 1, 3
2025/5/28, 31, 11, 41, 1, 1, 3
2025/5/29, 34, 10, 45, 1, 1, 3
2025/5/30, 31, 9, 42, 1, 1, 2
2025/5/31, 29, 6, 43, 1, 1, 2
2025/6/1, 19, 14, 42, 1, 1, 3
2025/6/2, 45, 10, 38, 2, 1, 3
2025/6/3, 34, 10, 54, 1, 1, 
2025/6/4, 29, 16, 67, 1, 1, 3
2025/6/5, 51, 16, 58, 1, 1, 3
2025/6/6, 50, 19, 51, , 1, 3
2025/6/7, 55, 24, 56, , 1, 3
2025/6/8, 63, 12, 44, 1, 1, 3
2025/6/9, 35, 8, 31, 1, 1, 3
2025/6/10, 17, 11, 36, 1, 1, 3
2025/6/11, 20, 18, 45, 1, 1, 3
2025/6/12, 48, 17, 42, 1, 1, 3
2025/6/13, 45, 11, 28, 1, 1, 2
2025/6/14, 24, 12, 30, 1, 1, 2
2025/6/15, 17, 16, 42, 1, 1, 2
2025/6/16, 34, 23, 41, 1, 1, 2
2025/6/17, 52, 23, 66, 1, 1, 3
